the_geom,address,allzoning1,allzoning2,appbbl,appdate,areasource,assessland,assesstot,bbl,bldgarea,bldgclass,bldgdepth,bldgfront,block,borocode,bsmtcode,builtcode,builtfar,cb2010,cd,comarea,commfar,condono,council,ct2010,easements,edesignum,exemptland,exempttot,ext,facilfar,factryarea,firecomp,garagearea,healtharea,histdist,irrlotcode,landmark,landuse,lot,lotarea,lotdepth,lotfront,lottype,ltdheight,numbldgs,numfloors,officearea,otherarea,overlay1,overlay2,ownername,ownertype,plutomapid,policeprct,proxcode,resarea,residfar,retailarea,sanborn,schooldist,spdist1,spdist2,splitzone,strgearea,taxmap,tract2010,unitsres,unitstotal,version,xcoord,ycoord,yearalter1,yearalter2,yearbuilt,zipcode,zmcode,zonedist1,zonedist2,zonedist3,zonedist4,zonemap
0106000020E61000000100000001030000000100000005000000961B0C25F28052C05400D2AAA95A44407FA692C3F28052C02D55E7D1A65A4440AAF73BCCF78052C01AAED4FDA95A44403D4DAE3BF78052C024777FE0AC5A4440961B0C25F28052C05400D2AAA95A4440,33 RECTOR STREET,C6-9/LM,,1000170027,12/20/01,7,541797,4380083,1000177502,33185,RM,0,0,17,1,5,,11.18,1016,101,5435,15,1192,1,13,0,,7050,7050,,15,0,E010,0,7700,,Y,,4,7502,2967,89,30,0,,1,15,1988,0,,,,,1,1,0,27750,10,3447,11S 003,2,LM,,N,0,10101,13,13,15,15v1,980104,197332,0,0,1920,10006,,C6-9,,,,12b
0106000020E610000001000000010300000001000000090000004ACF7B6FE98052C020304E21B85A4440BBCBB831EC8052C068EFFEC2A95A44409AB806AFF68052C0A4F6F00AB05A4440AA0F55A4F38052C01632B57DBF5A44403C072FA6EE8052C05008E94FBD5A4440201921BAEE8052C03292D0E1BC5A4440EC80C0ACEE8052C082A2FADBBC5A4440B752C00FEF8052C01D43A0BBBA5A44404ACF7B6FE98052C020304E21B85A4440,40 RECTOR STREET,C6-9/LM,,1000550002,7/26/11,7,8100015,28534950,1000557501,403075,RC,177.33,176.08,55,1,5,,13.4,1013,101,403075,15,2262,1,13,0,,2390451,8235367,,15,0,E010,0,7700,,Y,,5,7501,30080,177.33,176.08,0,,1,18,396356,0,,,40 RECTOR OWNER LLC,,1,1,0,0,10,6719,101S009,2,LM,,N,0,10101,13,0,22,15v1,980186,197450,0,0,1921,10006,,C6-9,,,,12b
0106000020E61000000100000001030000000100000026000000F35BBF6BDE8052C02353F805BC594440021ACEC6DE8052C0016D418FB85944405CBEB2B2DF8052C06A0A7FCCB85944405C1C22A0DF8052C0A8AC2C70B95944406C8943AFE48052C054729592BA594440269A12C8E68052C0E1381EC1AB5944401A30DEE1EE8052C06079E733B3594440221FEF04F08052C00372654CB459444036ECDC08F08052C0E6D72443B4594440F7044D78F08052C033769AA9B4594440F19F9935F38052C0D8926FF2AD594440FBEDFF56F38052C01CFAAE27AE594440802CBF88F08052C0CD152BC6B459444061FBB0BDF28052C05FB492E6B659444074FA26E7F28052C0458374A2B6594440CC1B60D6F48052C049B58670B8594440A50E9C63F58052C0FAD446EAB85944402C35FFD8F58052C0D1F1705AB959444030492323F28052C0981BDDB8C259444072CCFFC9F08052C05B9FD9CEC1594440C00E546CEF8052C0C6E995FBC05944409DD8D83FEE8052C010562543C0594440C6E44B53ED8052C03FE5B6B4BF594440DD048753EC8052C090CFC234BF59444022E20F35EB8052C0326068AABE5944404000D527EA8052C013B4D139BE594440D437CD2EE98052C09575B6DDBD594440735F4249E88052C08F9BB490BD594440CB86535AE78052C0AC20F443BD5944404F5A225AE68052C0F62029FCBC594440CF17824CE58052C02B25E0C3BC5944409A191C53E48052C05D668C8BBC594440CA3ED542E38052C09974FB4CBC5944408D5A028CE28052C0E71DF822BC5944402B5A4FF1E08052C0D19201FFBB59444008C97D23E08052C03562D0FABB594440AFD890BCDE8052C05A28E6FABB594440F35BBF6BDE8052C02353F805BC594440,1 SOUTH STREET,M1-4/LM,,0,,7,11070000,14632200,1000030010,123800,Z9,227,37,3,1,0,,1,1000,101,123800,2,0,1,319,0,,11070000,14632200,,6.5,0,L015,0,9000,,Y,,,10,123800,177.33,362,2,,2,3,0,123800,,,UNITED STATES AMERICA,X,1,1,1,0,0,0,101S087,2,LM,,N,0,10101,319,0,1,15v1,980245,194640,0,0,1960,10004,,M1-4,,,,12b
0106000020E610000001000000010300000001000000090000004ACF7B6FE98052C020304E21B85A4440B752C00FEF8052C01D43A0BBBA5A4440EC80C0ACEE8052C082A2FADBBC5A4440201921BAEE8052C03292D0E1BC5A44403C072FA6EE8052C05008E94FBD5A4440AA0F55A4F38052C01632B57DBF5A44400FEF005FF18052C02ACA5807CB5A44400E67E466E78052C0E6A0B1B8C25A44404ACF7B6FE98052C020304E21B85A4440,71 WEST STREET,C6-9/LM,,0,,7,4036500,18001350,1000550014,258071,D8,173,133,55,1,2,,11.5,1013,101,7600,15,0,1,13,0,,0,0,,15,0,E010,7600,7700,,Y,,3,14,22437,180.08,133.42,3,,1,18,0,0,,,J HILL ASSOCIATES,P,1,1,2,250471,10,0,101S009,2,LM,,N,0,10101,13,206,207,15v1,980231,197593,2003,0,1926,10006,,C6-9,,,,12b
0106000020E61000000100000001030000000100000007000000FDC34FADE68052C034B3E0813D5A444054C29E8AE78052C038C282083A5A444029F0E771E88052C0A01E7C54355A44405085A6D3F28052C0DCF0589A395A4440296A6DDBF08052C038E50981425A44408A94C423E98052C01CF18EDC3E5A4440FDC34FADE68052C034B3E0813D5A4440,1 BROADWAY,C5-5/LM,,0,,7,4905000,16717500,1000130001,180646,O3,171.33,96.33,13,1,2,,10.61,2008,101,180646,15,0,1,13,0,,0,0,,15,0,E010,0,7700,,Y,INTERNATIONAL MERCANTILE MARINE COM,5,1,17025,171.33,96.33,3,,1,14,180016,0,,,LOGANY,P,1,1,0,0,10,0,101S003,2,LM,,N,630,10101,13,0,28,15v1,980242,196109,1982,0,1900,10004,,C5-5,,,,12b
0106000020E610000001000000010300000001000000060000003F86D610E28052C0194052AA4A5A4440FDC34FADE68052C034B3E0813D5A44408A94C423E98052C01CF18EDC3E5A4440296A6DDBF08052C038E50981425A4440ADBAE3F2ED8052C0599CBAA54F5A44403F86D610E28052C0194052AA4A5A4440,11 BROADWAY,C5-5/LM,,0,,7,5625000,26107650,1000130005,434220,O3,200,152,13,1,1,E,15.07,2008,101,434220,15,0,1,13,0,,0,0,,15,0,E010,0,7700,,Y,BOWLING GREEN OFFICES BUILDING,5,5,28814,200.67,162.33,4,,1,22,411720,0,,,BOWLING GREEN ASSOCIA,P,1,1,3,0,10,22500,101S003,2,LM,,N,0,10101,13,0,50,15v1,980293,196230,1920,0,1900,10004,,C5-5,,,,12b
0106000020E610000001000000010300000001000000050000009FE70D06E58052C09E609AB9CF5A44404727AA32E78052C0D7091E45C55A4440B88B51D8F08052C0F23A0E79CD5A4440F96A50CDEE8052C0CF1AF614D85A44409FE70D06E58052C09E609AB9CF5A4440,80 WEST STREET,C6-9/LM,,1000550023,12/28/88,7,18000000,45147150,1000550016,3000,H2,57,65,55,1,5,,0.15,1005,101,3000,15,0,1,13,0,,0,0,,15,0,E010,0,7700,,Y,,5,16,20161,86,116.92,3,,1,38,0,0,,,"HMC FINANCIAL CENTER,",P,1,1,0,0,10,3000,101S009,2,LM,,N,0,10101,13,0,5,15v1,980274,197741,2006,0,1989,10006,,C6-9,,,,12b
0106000020E61000000100000001030000000100000007000000553850CDE48052C0A16649F7E45A44406C8E7AF4E58052C0305E77F5DE5A44402A1456CFE68052C0CBB3EBABDF5A44400C3A8966E88052C0A2871767D75A4440B1943F00EE8052C0CBFED426DC5A44404E41B22AEB8052C04326248DEA5A4440553850CDE48052C0A16649F7E45A4440,90 WEST STREET,C6-9/LM,,0,,7,4500000,43392150,1000560004,357000,D5,119.75,158.67,56,1,2,,21.02,1004,101,2000,15,0,1,13,0,,0,23004000,,15,0,E010,0,7700,,Y,WEST STREET BUILDING,3,4,16980,119.75,158.67,3,,1,24,2000,0,,,B.C.R.E. - 90 WEST ST,P,1,1,0,355000,10,0,101S009,2,LM,,N,0,10101,13,410,411,15v1,980297,197946,2004,0,1908,10006,,C6-9,,,,12b
0106000020E610000001000000010300000001000000050000003F86D610E28052C0194052AA4A5A4440ADBAE3F2ED8052C0599CBAA54F5A4440C214718CE98052C0FB613D88635A4440091226A2DB8052C0A37C3F115A5A44403F86D610E28052C0194052AA4A5A4440,25 BROADWAY,C5-5/LM,,0,,7,18539550,85031100,1000130027,809401,O3,248,203,13,1,2,,16.84,2008,101,809401,15,0,1,13,1,,0,0,,15,0,E010,0,7700,,Y,CUNARD BUILDING,5,27,48071,248.33,202.92,3,,1,23,587215,179885,,,25 BROADWAY OFFICE PR,P,1,1,0,0,10,42000,101S003,2,LM,,N,301,10101,13,0,12,15v1,980368,196404,2010,0,1921,10004,,C5-5,,,,12b
0106000020E61000000100000001030000000100000008000000D274DF3BE38052C02DDD1647925A4440AACA1C97E68052C0D105E9B1945A44401E218939E88052C074BA41DF955A4440A374D94CEA8052C04C0BE75D975A4440433067DFEC8052C063972F38995A444078CA3690EA8052C03391D9D6A45A4440DE78A1A7E08052C0BE135C829E5A4440D274DF3BE38052C02DDD1647925A4440,88 GREENWICH STREET,C6-9/LM,,1000180027,9/14/07,7,5355451,44469451,1000187501,366124,RM,146,175,18,1,5,,14.96,2003,101,50183,15,1741,1,13,0,,173081,213510,,15,0,E010,0,7700,,N,,4,7501,24470,179.42,179,0,,1,38,0,0,,,GREENWICH CLUB RESIDE,,1,1,0,315941,10,50183,101S003,2,LM,,N,0,10101,13,452,453,15v1,980344,197175,2002,0,1956,10006,,C6-9,,,,12b
